dataset,record_id,source_file,excel_row,system_id,issue_type,details
Binary,,,,smiles:O=C=O || smiles:[C-]#[O+],component_order_variant,2 source component orders
Binary,,,,smiles:CCC(C)Cl || smiles:CCCCCCC,component_order_variant,2 source component orders
Binary,,,,smiles:CC(C)O || smiles:O,component_order_variant,2 source component orders
Binary,,,,smiles:CCCCCCC || smiles:CCCCCl,component_order_variant,2 source component orders
Binary,,,,smiles:C1CCCCC1 || smiles:CCO,component_order_variant,2 source component orders
Binary,,,,smiles:CC(=O)O || smiles:O,component_order_variant,2 source component orders
Binary,,,,smiles:CCCO || smiles:CCCOC(C)=O,component_order_variant,2 source component orders
Binary,,,,smiles:CC#N || smiles:CO,component_order_variant,2 source component orders
Binary,,,,smiles:CCC(C)=O || smiles:CCO,component_order_variant,2 source component orders
Binary,,,,smiles:CCCC || smiles:CCSCC,component_order_variant,2 source component orders
Binary,,,,smiles:Cc1ccccc1 || smiles:c1ccccc1,component_order_variant,2 source component orders
Binary,,,,smiles:CO || smiles:COC(C)=O,component_order_variant,2 source component orders
Binary,,,,smiles:C1CCOC1 || smiles:CO,component_order_variant,2 source component orders
Binary,,,,fallback:4501d0d6bfddcc6a || smiles:CC(C)O,component_order_variant,2 source component orders
Binary,,,,smiles:CO || smiles:c1ccccc1,component_order_variant,2 source component orders
Binary,binary:000628,binary_vle_english.xlsx,629,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:000629,binary_vle_english.xlsx,630,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:000676,binary_vle_english.xlsx,677,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:000677,binary_vle_english.xlsx,678,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:006620,binary_vle_english.xlsx,6621,smiles:CCC(C)=O || smiles:CCO,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:006833,binary_vle_english.xlsx,6834,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:006834,binary_vle_english.xlsx,6835,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:006870,binary_vle_english.xlsx,6871,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:006871,binary_vle_english.xlsx,6872,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:008056,binary_vle_english.xlsx,8057,smiles:CC(F)F || smiles:CCCC,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:008113,binary_vle_english.xlsx,8114,smiles:CC(F)F || smiles:CCCC,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:013633,binary_vle_english.xlsx,13634,smiles:CC(F)F || smiles:CCCC,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:013710,binary_vle_english.xlsx,13711,smiles:CC(F)F || smiles:CCCC,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:015826,binary_vle_english.xlsx,15827,smiles:CC(C)O || smiles:O,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:016715,binary_vle_english.xlsx,16716,smiles:CCC(C)=O || smiles:CCO,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:018007,binary_vle_english.xlsx,18008,smiles:C=C(F)C(F)(F)F || smiles:CCF,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:020656,binary_vle_english.xlsx,20657,smiles:CC(C)O || smiles:O,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:022833,binary_vle_english.xlsx,22834,smiles:C=C(F)C(F)(F)F || smiles:CCF,duplicate_tp_xy_state,duplicate after unordered component normalization
Binary,binary:000876,binary_vle_english.xlsx,877,fallback:4d0058e9bed0652d || smiles:CCOC(C)=O,missing_smiles,component positions [2]
Binary,binary:000877,binary_vle_english.xlsx,878,fallback:4d0058e9bed0652d || smiles:CCOC(C)=O,missing_smiles,component positions [2]
Binary,binary:000878,binary_vle_english.xlsx,879,fallback:4d0058e9bed0652d || smiles:CCOC(C)=O,missing_smiles,component positions [2]
Binary,binary:000879,binary_vle_english.xlsx,880,fallback:4d0058e9bed0652d || smiles:CCOC(C)=O,missing_smiles,component positions [2]
Binary,binary:000880,binary_vle_english.xlsx,881,fallback:4d0058e9bed0652d || smiles:CCOC(C)=O,missing_smiles,component positions [2]
Binary,binary:000881,binary_vle_english.xlsx,882,fallback:4d0058e9bed0652d || smiles:CCOC(C)=O,missing_smiles,component positions [2]
Binary,binary:000882,binary_vle_english.xlsx,883,fallback:4d0058e9bed0652d || smiles:CCOC(C)=O,missing_smiles,component positions [2]
Binary,binary:000883,binary_vle_english.xlsx,884,fallback:4d0058e9bed0652d || smiles:CCOC(=O)OCC,missing_smiles,component positions [2]
Binary,binary:000884,binary_vle_english.xlsx,885,fallback:4d0058e9bed0652d || smiles:CCOC(=O)OCC,missing_smiles,component positions [2]
Binary,binary:000885,binary_vle_english.xlsx,886,fallback:4d0058e9bed0652d || smiles:CCOC(=O)OCC,missing_smiles,component positions [2]
Binary,binary:000886,binary_vle_english.xlsx,887,fallback:4d0058e9bed0652d || smiles:CCOC(=O)OCC,missing_smiles,component positions [2]
Binary,binary:000887,binary_vle_english.xlsx,888,fallback:4d0058e9bed0652d || smiles:CCOC(=O)OCC,missing_smiles,component positions [2]
Binary,binary:000888,binary_vle_english.xlsx,889,fallback:4d0058e9bed0652d || smiles:CCOC(=O)OCC,missing_smiles,component positions [2]
Binary,binary:000889,binary_vle_english.xlsx,890,fallback:4d0058e9bed0652d || smiles:CCOC(=O)OCC,missing_smiles,component positions [2]
Binary,binary:000890,binary_vle_english.xlsx,891,fallback:4d0058e9bed0652d || smiles:CCOC(=O)OCC,missing_smiles,component positions [2]
Binary,binary:001344,binary_vle_english.xlsx,1345,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001345,binary_vle_english.xlsx,1346,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001346,binary_vle_english.xlsx,1347,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001347,binary_vle_english.xlsx,1348,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001348,binary_vle_english.xlsx,1349,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001349,binary_vle_english.xlsx,1350,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001350,binary_vle_english.xlsx,1351,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001351,binary_vle_english.xlsx,1352,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001352,binary_vle_english.xlsx,1353,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001353,binary_vle_english.xlsx,1354,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
